gene_symbol,ncbi_gene,ensembl_gene,db_gene_symbol,db_ncbi_gene,db_ensembl_gene,source_gene,gs_id,gs_name,gs_collection,gs_subcollection,gs_collection_name,gs_description,gs_source_species,gs_pmid,gs_geoid,gs_exact_source,gs_url,db_version,db_target_species
AS3MT,57412,ENSG00000214435,AS3MT,57412,ENSG00000214435,57412,M47811,KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,Pathway Definition from KEGG: As -- AS3MT >> GSTO1 -> MMA -| CxIV,HS,,,N01394,https://www.kegg.jp/entry/N01394,2026.1.Hs,HS
COX4I1,1327,ENSG00000131143,COX4I1,1327,ENSG00000131143,1327,M47811,KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,Pathway Definition from KEGG: As -- AS3MT >> GSTO1 -> MMA -| CxIV,HS,,,N01394,https://www.kegg.jp/entry/N01394,2026.1.Hs,HS
COX4I2,84701,ENSG00000131055,COX4I2,84701,ENSG00000131055,84701,M47811,KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,Pathway Definition from KEGG: As -- AS3MT >> GSTO1 -> MMA -| CxIV,HS,,,N01394,https://www.kegg.jp/entry/N01394,2026.1.Hs,HS
COX5A,9377,ENSG00000178741,COX5A,9377,ENSG00000178741,9377,M47811,KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,Pathway Definition from KEGG: As -- AS3MT >> GSTO1 -> MMA -| CxIV,HS,,,N01394,https://www.kegg.jp/entry/N01394,2026.1.Hs,HS
COX5B,1329,ENSG00000135940,COX5B,1329,ENSG00000135940,1329,M47811,KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,Pathway Definition from KEGG: As -- AS3MT >> GSTO1 -> MMA -| CxIV,HS,,,N01394,https://www.kegg.jp/entry/N01394,2026.1.Hs,HS
COX6A1,1337,ENSG00000111775,COX6A1,1337,ENSG00000111775,1337,M47811,KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,Pathway Definition from KEGG: As -- AS3MT >> GSTO1 -> MMA -| CxIV,HS,,,N01394,https://www.kegg.jp/entry/N01394,2026.1.Hs,HS
COX6A2,1339,ENSG00000156885,COX6A2,1339,ENSG00000156885,1339,M47811,KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,Pathway Definition from KEGG: As -- AS3MT >> GSTO1 -> MMA -| CxIV,HS,,,N01394,https://www.kegg.jp/entry/N01394,2026.1.Hs,HS
COX6B1,1340,ENSG00000126267,COX6B1,1340,ENSG00000126267,1340,M47811,KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,Pathway Definition from KEGG: As -- AS3MT >> GSTO1 -> MMA -| CxIV,HS,,,N01394,https://www.kegg.jp/entry/N01394,2026.1.Hs,HS
COX6B2,125965,ENSG00000160471,COX6B2,125965,ENSG00000160471,125965,M47811,KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,Pathway Definition from KEGG: As -- AS3MT >> GSTO1 -> MMA -| CxIV,HS,,,N01394,https://www.kegg.jp/entry/N01394,2026.1.Hs,HS
COX6C,1345,ENSG00000164919,COX6C,1345,ENSG00000164919,1345,M47811,KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,Pathway Definition from KEGG: As -- AS3MT >> GSTO1 -> MMA -| CxIV,HS,,,N01394,https://www.kegg.jp/entry/N01394,2026.1.Hs,HS
COX7A1,1346,ENSG00000161281,COX7A1,1346,ENSG00000161281,1346,M47811,KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,Pathway Definition from KEGG: As -- AS3MT >> GSTO1 -> MMA -| CxIV,HS,,,N01394,https://www.kegg.jp/entry/N01394,2026.1.Hs,HS
COX7A2,1347,ENSG00000112695,COX7A2,1347,ENSG00000112695,1347,M47811,KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,Pathway Definition from KEGG: As -- AS3MT >> GSTO1 -> MMA -| CxIV,HS,,,N01394,https://www.kegg.jp/entry/N01394,2026.1.Hs,HS
COX7A2L,9167,ENSG00000115944,COX7A2L,9167,ENSG00000115944,9167,M47811,KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,Pathway Definition from KEGG: As -- AS3MT >> GSTO1 -> MMA -| CxIV,HS,,,N01394,https://www.kegg.jp/entry/N01394,2026.1.Hs,HS
COX7B,1349,ENSG00000131174,COX7B,1349,ENSG00000131174,1349,M47811,KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV,C2,CP:KEGG_MEDICUS,KEGG Medicus Pathways,Pathway Definition from KEGG: As -- AS3MT >> GSTO1 -> MMA -| CxIV,HS,,,N01394,https://www.kegg.jp/entry/N01394,2026.1.Hs,HS
